epoch,Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
3,0.9717335104942322,0.9686601758003235,0.9700977802276611,0.08255702257156372,NA,NA,NA,NA
4,0.9711399674415588,0.9675100445747375,0.9689476490020752,0.08300656825304031,NA,NA,NA,NA
0,0.9723263382911682,0.9698102474212646,0.9706727862358093,0.08308883011341095,NA,NA,NA,NA
1,0.9697144627571106,0.9666475057601929,0.9689476490020752,0.08280272781848907,NA,NA,NA,NA
2,0.9700028896331787,0.9669350385665894,0.968372642993927,0.08236752450466156,NA,NA,NA,NA
3,0.9700201749801636,0.9675100445747375,0.968372642993927,0.08305449038743973,NA,NA,NA,NA
4,0.9720380306243896,0.9695227146148682,0.9718228578567505,0.08177589625120163,NA,NA,NA,NA
0,0.969452440738678,0.9672225713729858,0.968372642993927,0.08309441804885864,NA,NA,NA,NA
1,0.969740629196167,0.9675100445747375,0.968372642993927,0.08214158564805984,NA,NA,NA,NA
2,0.9714779853820801,0.9695227146148682,0.9700977802276611,0.08211752027273178,NA,NA,NA,NA
3,0.9703426361083984,0.9689476490020752,0.9692351818084717,0.08226989954710007,NA,NA,NA,NA
4,0.973167896270752,0.9698102474212646,0.9709603190422058,0.0814613476395607,NA,NA,NA,NA
0,0.9836065769195557,0.7929515242576599,0.9118942618370056,0.38534459471702576,NA,NA,NA,NA
1,0.9765100479125977,0.9614537358283997,0.9713656306266785,0.1167486160993576,NA,NA,NA,NA
2,0.9733333587646484,0.9647576808929443,0.9702643156051636,0.09768164902925491,NA,NA,NA,NA
3,0.9723145365715027,0.9669603705406189,0.9702643156051636,0.09207634627819061,NA,NA,NA,NA
4,0.9723756909370422,0.9691630005836487,0.9691630005836487,0.0897647961974144,NA,NA,NA,NA
0,0.9704933762550354,0.9325999617576599,0.9578555822372437,0.1489730328321457,NA,NA,NA,NA
1,0.9703001379966736,0.9668422937393188,0.9690114855766296,0.08924587070941925,NA,NA,NA,NA
2,0.9704601764678955,0.9671521782875061,0.9690114855766296,0.0895712673664093,NA,NA,NA,NA
3,0.9712554216384888,0.9685466289520264,0.9696312546730042,0.08807658404111862,NA,NA,NA,NA
4,0.9712196588516235,0.9673070907592773,0.9693213701248169,0.08897848427295685,NA,NA,NA,NA
0,0.971388578414917,0.9679268598556519,0.9690114855766296,0.08865410089492798,NA,NA,NA,NA
1,0.971708357334137,0.9685466289520264,0.9702510237693787,0.08791079372167587,NA,NA,NA,NA
2,0.9718419313430786,0.9679268598556519,0.9699411392211914,0.08777841925621033,NA,NA,NA,NA
3,0.9723215699195862,0.9688565135002136,0.9710257053375244,0.08842561393976212,NA,NA,NA,NA
4,0.9724642038345337,0.9685466289520264,0.9707158207893372,0.08697374165058136,NA,NA,NA,NA
0,0.9707802534103394,0.9677719473838806,0.9696312546730042,0.08701268583536148,NA,NA,NA,NA
1,0.9713974595069885,0.9682367444038391,0.9699411392211914,0.08785274624824524,NA,NA,NA,NA
2,0.9715396761894226,0.9679268598556519,0.9691663980484009,0.08656463027000427,NA,NA,NA,NA
3,0.972451388835907,0.9680818319320679,0.9699411392211914,0.08565157651901245,NA,NA,NA,NA
4,0.9707983732223511,0.9683917164802551,0.9694762825965881,0.08639951050281525,NA,NA,NA,NA
0,0.9720279574394226,0.9691663980484009,0.9704059362411499,0.08683191984891891,NA,NA,NA,NA
1,0.9706065058708191,0.9669972062110901,0.9690114855766296,0.08722160011529922,NA,NA,NA,NA
2,0.9721617698669434,0.9685466289520264,0.9699411392211914,0.08555527031421661,NA,NA,NA,NA
3,0.9710820913314819,0.9677719473838806,0.9690114855766296,0.08650845289230347,NA,NA,NA,NA
4,0.9722914099693298,0.9677719473838806,0.9704059362411499,0.08662530034780502,NA,NA,NA,NA
0,0.9730823040008545,0.9690114855766296,0.9707158207893372,0.08634588867425919,NA,NA,NA,NA
1,0.9707711338996887,0.9674620628356934,0.9690114855766296,0.08625148236751556,NA,NA,NA,NA
2,0.9711000919342041,0.9683917164802551,0.9699411392211914,0.08602255582809448,NA,NA,NA,NA
3,0.970802903175354,0.9685466289520264,0.9694762825965881,0.08593834936618805,NA,NA,NA,NA
4,0.9717127680778503,0.9687016010284424,0.9697861671447754,0.08619920909404755,NA,NA,NA,NA
0,0.9709266424179077,0.9676169753074646,0.9694762825965881,0.08620995283126831,NA,NA,NA,NA
1,0.971980094909668,0.9674620628356934,0.9699411392211914,0.08589599281549454,NA,NA,NA,NA
2,0.972001850605011,0.9682367444038391,0.9700960516929626,0.08503924310207367,NA,NA,NA,NA
3,0.9720062017440796,0.9683917164802551,0.9705609083175659,0.0860789492726326,NA,NA,NA,NA
4,0.972001850605011,0.9682367444038391,0.9699411392211914,0.08561120927333832,NA,NA,NA,NA
0,0.972023606300354,0.9690114855766296,0.9702510237693787,0.08579431474208832,NA,NA,NA,NA
1,0.9718682169914246,0.9688565135002136,0.9705609083175659,0.08497846126556396,NA,NA,NA,NA
2,0.9724984169006348,0.9697861671447754,0.9710257053375244,0.08577482402324677,NA,NA,NA,NA
3,0.9713974595069885,0.9682367444038391,0.9694762825965881,0.08533130586147308,NA,NA,NA,NA
4,0.9712420105934143,0.9680818319320679,0.9700960516929626,0.08555451035499573,NA,NA,NA,NA
0,0.9724642038345337,0.9685466289520264,0.9702510237693787,0.08548938482999802,NA,NA,NA,NA
1,0.9720279574394226,0.9691663980484009,0.9708707928657532,0.08570930361747742,NA,NA,NA,NA
2,0.9732587337493896,0.9699411392211914,0.9719553589820862,0.08530944585800171,NA,NA,NA,NA
3,0.9712554216384888,0.9685466289520264,0.9699411392211914,0.08552150428295135,NA,NA,NA,NA
4,0.9717040061950684,0.9683917164802551,0.9694762825965881,0.08566410839557648,NA,NA,NA,NA
0,0.9710820913314819,0.9677719473838806,0.9694762825965881,0.08512072265148163,NA,NA,NA,NA
1,0.9720105528831482,0.9685466289520264,0.9704059362411499,0.08551225066184998,NA,NA,NA,NA
2,0.9724599123001099,0.9683917164802551,0.9710257053375244,0.08483404666185379,NA,NA,NA,NA
3,0.9717347621917725,0.9694762825965881,0.9697861671447754,0.08480583131313324,NA,NA,NA,NA
4,0.9734141826629639,0.9700960516929626,0.9714905619621277,0.08461868762969971,NA,NA,NA,NA
0,0.9714108109474182,0.9687016010284424,0.9694762825965881,0.08508811146020889,NA,NA,NA,NA
1,0.9734306931495667,0.9707158207893372,0.9722652435302734,0.08508975803852081,NA,NA,NA,NA
2,0.972183346748352,0.9693213701248169,0.9705609083175659,0.08432869613170624,NA,NA,NA,NA
3,0.9711045622825623,0.9685466289520264,0.9694762825965881,0.0844724029302597,NA,NA,NA,NA
4,0.9724984169006348,0.9697861671447754,0.9707158207893372,0.08446541428565979,NA,NA,NA,NA
0,1.0,0.1979166716337204,0.75,1.010266900062561,NA,NA,NA,NA
1,1.0,0.5208333134651184,0.9375,0.6231209635734558,NA,NA,NA,NA
2,1.0,0.7708333134651184,0.9375,0.4330310821533203,NA,NA,NA,NA
3,0.9767441749572754,0.875,0.9479166865348816,0.3125552535057068,NA,NA,NA,NA
4,0.966292142868042,0.8958333134651184,0.9479166865348816,0.24063090980052948,NA,NA,NA,NA
0,0.9479166865348816,0.9479166865348816,0.9479166865348816,0.09149676561355591,NA,NA,NA,NA
1,0.9479166865348816,0.9479166865348816,0.9479166865348816,0.08895913511514664,NA,NA,NA,NA
2,0.9479166865348816,0.9479166865348816,0.9479166865348816,0.08461719751358032,NA,NA,NA,NA
3,0.9583333134651184,0.9583333134651184,0.9583333134651184,0.07973172515630722,NA,NA,NA,NA
