3,0,0,0,99,0
4,4,1,2,0,95
0,106,0,2,0,6
1,0,96,0,0,0
2,0,0,92,0,1
3,0,0,0,99,0
4,4,1,2,0,95
0,107,0,2,0,5
1,0,96,0,0,0
2,0,0,92,0,1
3,0,0,0,99,0
4,6,1,3,0,92
0,107,0,2,0,5
1,0,96,0,0,0
2,0,0,92,0,1
3,0,0,0,99,0
4,5,1,3,0,93
0,107,0,2,0,5
1,0,96,0,0,0
2,0,0,92,0,1
3,0,0,0,99,0
4,4,1,3,0,94
0,55,0,2,0,2
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,4,0,0,0,42
0,58,0,1,0,0
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,4,0,0,0,42
0,57,0,2,0,0
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,4,0,0,0,42
0,57,0,2,0,0
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,4,0,0,0,42
0,57,0,2,0,0
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,4,0,0,0,42
0,57,0,2,0,0
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,4,0,0,0,42
0,57,0,2,0,0
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,6,0,0,0,40
0,57,0,2,0,0
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,6,0,0,0,40
0,57,0,2,0,0
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,4,0,0,0,42
0,56,0,2,0,1
1,0,46,0,0,0
2,0,0,53,0,0
3,0,0,0,56,0
4,4,0,0,0,42
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,1,0,58
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,1,0,58
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,1,0,58
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,2,0,57
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,1,0,58
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,1,0,58
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,1,0,58
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,1,0,58
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,1,0,58
0,75,0,0,0,1
1,0,63,0,0,0
2,0,0,74,0,1
3,0,0,0,67,0
4,4,0,1,0,58
0,87,0,0,0,5
1,0,77,1,0,0
2,0,0,88,0,0
3,0,0,0,65,0
4,6,0,3,0,86
0,82,0,0,0,10
1,0,78,0,0,0
2,0,0,88,0,0
3,0,0,0,65,0
4,1,0,2,0,92
0,87,0,0,0,5
1,0,78,0,0,0
2,0,0,88,0,0
3,0,0,0,65,0
4,6,0,2,0,87
0,86,0,0,0,6
1,0,78,0,0,0
2,1,0,87,0,0
3,0,0,0,65,0
4,4,0,2,0,89
0,86,0,0,0,6
1,0,78,0,0,0
2,1,0,87,0,0
3,0,0,0,65,0
4,5,0,2,0,88
0,86,0,0,0,6
1,0,78,0,0,0
2,0,0,88,0,0
3,0,0,0,65,0
4,6,0,2,0,87
0,88,0,0,0,4
1,0,78,0,0,0
2,0,0,88,0,0
3,0,0,0,65,0
4,6,0,2,0,87
0,85,0,0,0,7
1,0,78,0,0,0
2,1,0,87,0,0
3,0,0,0,65,0
4,3,0,2,0,90
0,83,0,0,0,9
1,0,78,0,0,0
2,1,0,86,0,1
3,0,0,0,65,0
4,1,0,2,0,92
0,86,0,0,0,6
1,0,78,0,0,0
2,0,0,88,0,0
3,0,0,0,65,0
4,6,0,2,0,87
0,56,0,0,0,3
1,0,52,0,0,0
2,0,0,66,0,2
3,0,0,0,52,0
4,7,0,1,0,57
0,54,0,0,0,5
